,title,author,subject,desc,certificate_price,enrollment,length_by_week,difficulty
10,Power Searching with Google  ,Google,Computer Science,Get the most out of your search engine skills! ,149.00,0,3,0
11,Rhetoric: The Art of Persuasive Writing and Public Speaking  ,HarvardX,Humanities,"We are living in a contentious time in history. Fundamental disagreements on critical policy, economic, and political issues make it essential to learn how to compose an effectiveargument and to analyze the arguments of others. This ability will help you engage in civil discourse and make needed changes in society. Conveying a convincing message can benefit your personal, public, and professional lives.",169.00,332271,8,0
12,Exercising Leadership: Foundational Principles  ,HarvardX,Business & Management,"The crises of our time generate enormous adaptive challenges for our families, organizations, communities, and societies. The need for leadership that can mobilize people to meet these challenges and improve life is critical.",139.00,71783,4,0
13,"PredictionX: Omens, Oracles & Prophecies  ",HarvardX,Social Sciences,"Humans have always sought to know their own future, be it the destiny of an empire or an individual's fate. Across cultures and history, we find people trying to find their place in the Universe by attempting to gaze into the future.",49.00,93730,1,0
14,Conquering Humor Fundamentals  ,HumorX,Business & Management,"In this course, you’ll build the foundations of humor at work. You’ll explore the neuroscience of laughter and why it’s a superpower that increases bonds, creativity, and resilience on virtual teams. You’ll come to understand your unique humor style, including what makes you laugh, how you make others laugh, and how to activate your sense of humor with colleagues. Finally, you’ll mine seemingly mundane moments with your team for humor, apply simple comedic techniques from the pros, and shift your mindset towards being on the precipice of a smile.",69.00,0,2,0
15,Introduction to Linux  ,LinuxFoundationX,Computer Science,"Develop a good working knowledge of Linux using both the graphical interface and command line, covering the major Linux distribution families.",169.00,654361,14,0
16,Becoming an Entrepreneur  ,MITx,Business & Management,"Curious about entrepreneurship, but not sure where to start? Becoming an Entrepreneur is designed in partnership with MIT to guide people of all ages and backgrounds through the process of founding a company. With enrollment in the hundreds of thousands, this course is as engaging and accessible as it is informative.",69.00,108634,6,0
17,"Hollywood: History, Industry, Art  ",PennX,Communication,In this course you will learn about Hollywood and how it came to be the global powerhouse of today.,169.00,50900,4,0
18,Computer Science 101  ,StanfordOnline,Computer Science,"CS101 is a self-paced course that teaches the essential ideas of Computer Science for a zero-prior-experience audience. Computers can appear very complicated, but in reality, computers work within just a few, simple patterns. CS101 demystifies and brings those patterns to life, which is useful for anyone using computers today.",149.00,41946,6,0
19,HTML5 and CSS Fundamentals  ,W3Cx,Computer Science,"This course is part of W3C's ""Front-End Web Developer"" Professional Certificate.",199.00,339111,6,0
20,IELTS Academic Test Preparation  ,UQx,Communication,IELTS is the world's most popular English language test for those wanting to study in higher education in an English-speaking country.,99.00,1124910,8,0
21,Entrepreneurship in Emerging Economies  ,HarvardX,Business & Management,"This business and management course, taught by Harvard Business School professor Tarun Khanna, takes an inter-disciplinary approach to understanding and solving complex social problems. You will learn about prior attempts to address these problems across the emerging markets, identify points of opportunity for smart entrepreneurial efforts, and propose and develop your own creative solutions. The focus of this course is on individual agency—what can you do to address a defined problem? The creative process starts with immersion in the problem-at-hand and the harnessing of diverse perspectives.",199.00,594067,6,0
22,CS50's Introduction to Artificial Intelligence with Python  ,HarvardX,Computer Science,"AI is transforming how we live, work, and play. By enabling new technologies like self-driving cars and recommendation systems or improving old ones like medical diagnostics and search engines, the demand for expertise in AI and machine learning is growing rapidly. This course will enable you to take the first step toward solving important real-world problems and future-proofing your career.",199.00,271342,7,0
23,TOEFL® Test Preparation: The Insider’s Guide  ,ETSx,Communication,"This test preparation course, developed by the experts who create, administer and score the TOEFL test, will help English language learners improve their skills.",49.00,1045023,6,0
24,Data Science: R Basics  ,HarvardX,Data Analysis & Statistics,"The first in our Professional Certificate Program in Data Science, this course will introduce you to the basics of R programming. You can better retain R when you learn it to solve a specific problem, so you'll use a real-world dataset about crime in the United States. You will learn the R skills needed to answer essential questions about differences in crime across the different states. ",149.00,544878,8,0
25,CS50's Introduction to Game Development  ,HarvardX,Computer Science,"In a quest to understand how video games themselves are implemented, you'll explore the design of such childhood games as: ",199.00,355092,12,1
26,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron  ",HarvardX,Biology & Life Sciences,Fundamentals of Neuroscience is a three-courseseries that explores the structure and function of the nervous system—from the inner workings of a single nerve cell to the staggering complexity of the brain and the social interactions they enable. ,169.00,387710,5,0
27,Justice  ,HarvardX,Humanities,"Taught by lauded Harvard professor Michael Sandel, Justice explores critical analysis of classical and contemporary theories of justice, including discussion of present-day applications. Topics include affirmative action, income distribution, same-sex marriage, the role of markets, debates about rights (human rights and property rights), arguments for and against equality, dilemmas of loyalty in public and private life. The course invites learners to subject their own views on these controversies to critical examination.",99.00,401256,12,0
28,Python Basics for Data Science  ,IBM,Data Analysis & Statistics,"Kickstart your learning of Python for data science, as well as programming in general with this introduction to Python course. This beginner-friendly Python course will quickly take you from zero to programming in Python in a matter of hours and give you a taste of how to start working with data in Python. ~~~~",39.00,241558,5,0
29,Inglés básico: conversacional y networking  ,AnahuacX,Business & Management,"En tu vida diaria y laboral, seguramente te has enfrentado a situaciones en donde tienes que leer, entender o hablar inglés y te encuentras en una encrucijada cuando no te sientes capaz de realizarlo de manera efectiva.",49.00,91239,4,0
30,Basic Spanish 1: Getting Started  ,UPValenciaX,Communication,"This 7-week Spanish language course is aimed at students who would like to learn conversational Spanish starting with Spanish basics. The course introduces everyday language and includes activities to practice all four language skills: reading comprehension, writing, listening comprehension and speaking.",40.00,409460,7,0
31,Contract Law: From Trust to Promise to Contract  ,HarvardX,Business & Management,"Learn about contracts from Harvard Law Professor Charles Fried, one of the world's leading authorities on contract law. Contracts are promises that the law will enforce. But when will the law refuse to honor a promise? What happens when one party does not hold to their part of the deal? This version of the course adds new units on Interpretation, Agency, Partnerships, Corporations, and Government Regulation.",199.00,420271,8,1
32,Data Science: Machine Learning  ,HarvardX,Data Analysis & Statistics,"Perhaps the most popular data science methodologies come from machine learning. What distinguishes machine learning from other computer guided decision processes is that it builds prediction algorithms using data. Some of the most popular products that use machine learning include the handwriting readers implemented by the postal service, speech recognition, movie recommendation systems, and spam detectors. ",99.00,284189,8,0
33,The Architectural Imagination  ,HarvardX,Architecture,"Architecture engages a culture’s deepest social values and expresses them in material, aesthetic form. This course will teach you how to understand architecture as both cultural expression and technical achievement. Vivid analyses of exemplary buildings, and hands-on exercises in drawing and modeling, will bring you closer to the work of architects and historians.",199.00,412411,10,0
34,Excel: Fundamentos y herramientas  ,UPValenciaX,Computer Science," Este es un curso introductorio en el que aprenderemos a trabajar con Excel, el componente para hojas de cálculo de la suite ofimática de Microsoft, MS-Office.",50.00,292409,8,0
35,Leaders of Learning  ,HarvardX,Communication,"All of us carry explicit or implicit theories of learning. They manifest themselves in the ways we learn, the ways we teach, and the ways we think about leadership and learning.",139.00,233909,10,0
36,Principles of Biochemistry  ,HarvardX,Medicine,"Principles of Biochemistry integrates an introduction to the structure of macromolecules and a biochemical approach to cellular function. Topics addressing protein function will include enzyme kinetics, the characterization of major metabolic pathways and their interconnection into tightly regulated networks, and the manipulation of enzymes and pathways with mutations or drugs. An exploration of simple cells (red blood cells) to more complex tissues (muscle and liver) will be used as a framework to discuss the progression in metabolic complexity. Learners will also develop problem solving and analytical skills that are more generally applicable to the life sciences.",199.00,260769,15,1
37,Statistics and R  ,HarvardX,Data Analysis & Statistics,This course teaches the R programming language in the context of statistical data and statistical analysis in the life sciences.,249.00,319930,4,1
38,AnatomyX: Musculoskeletal Cases  ,HarvardX,Medicine,Musculoskeletal AnatomyX invites students to join medical and basic science faculty at Harvard Medical School (HMS) to learn about musculoskeletal injuries commonly seen in clinical practice. ,99.00,105406,7,1
39,Child Protection: Children's Rights in Theory and Practice  ,HarvardX,Social Sciences,"Across the world, children are at riskfrom violence, abuse, exploitation, and neglect. Conflict and natural disasters have forced millions to flee their homes and confront the dangers of migration and displacement. Commercial sexual exploitation and trafficking, child labor, and child marriage are problems in many countries. At-risk children and adolescents need their rights enforcedif we are to protect them from harm and to ensure that they develop to their full potential. ",99.00,216439,16,0
40,Italian Language and Culture: Beginner (2019-2020)  ,WellesleyX,Language,Benvenuti e Benvenute! (Welcome!),49.00,187590,12,0
41,How to Write an Essay  ,BerkeleyX,Humanities,"College Writing 2.1x is an introduction to academic writing for English Language Learners, focusing on essay development, grammatical correctness, and self-editing. The five-week course includes a review of basic grammar terminology and understanding; writing effective sentences and paragraphs; introductions and conclusions; strategies for writing longer texts; and thesis statements. The course materials will be offered via readings and videos. An optional course workbook, in ebook form, may be used for additional writing work. Students will participate in online discussions as well as peer review. Students will complete an essay for this part of the course.",49.00,311588,5,0
42,Introduction to Kubernetes  ,LinuxFoundationX,Computer Science,Is your team beginning to use Kubernetes for container orchestration? Do you need guidelines on how to start transforming your organization with Kubernetes and cloud native patterns? Would you like to simplify software container orchestration and find a way to grow your use of Kubernetes without adding infrastructure complexity? Then this is the course for you!,149.00,153491,14,0
43,Computing in Python I: Fundamentals and Procedural Programming  ,GTx,Computer Science,"This course starts from the beginning, covering the basics of how a computer interprets lines of code; how to write programs, evaluate their output, and revise the code itself; how to work with variables and their changing values; and how to use mathematical, boolean, and relational operators. ",99.00,147249,5,0
44,Data Science: Visualization  ,HarvardX,Data Analysis & Statistics,"As part of our Professional Certificate Program in Data Science, this course covers the basics of data visualization and exploratory data analysis. We will use three motivating examples and ggplot2, a data visualization package for the statistical programming language R. We will start with simple datasets and then graduate to case studies about world health, economics, and infectious disease trends in the United States. ",149.00,175721,8,0
45,Using Python for Research  ,HarvardX,Computer Science,"This course bridges the gap between introductory and advanced courses in Python. While there are many excellent introductory Python courses available, most typically do not go deep enough for you to apply your Python skills to research projects. In this course, after first reviewing the basics of Python 3, we learn about tools commonly used in research settings. This version of the course includes a new module on statistical learning.",169.00,265487,12,1
46,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry)  ,HarvardX,Chemistry,"During each module of this course, chefs reveal the secrets behind some of their most famous culinary creations — often right in their own restaurants. Inspired by such cooking mastery, the Harvard team will then explain the science behind the recipe.",169.00,148732,16,0
47,Technology Entrepreneurship: Lab to Market  ,HarvardX,Business & Management,"Universities, government labs, and private companies invest billions of dollars in the research and development of breakthrough technologies that have the potential to transform industries and lives — but very few of these technologies ever leave the lab. Those that do often fail to find compelling market applications. So what determines success? How does an invention become an enduring innovation? ",99.00,58417,5,0
48,Marketing Digital: Content & Community Manager  ,GalileoX,Communication,"En este curso tendrás acceso a tutoriales y plantillas descargables de marketing digital para que pongas en práctica la teoría. Con ayuda de un Mentor de Google en Marketing podrás identificar cuáles son las mejores redes sociales para empresas y marcas. Descubrirás cómo armar un plan de marketing en redes sociales, cómo crear contenido de valor, cómo gestionar varias cuentas de redes sociales y cómo usar las redes sociales para atraer a clientes de todo el mundo, posicionar tu marca, lanzar un nuevo producto, vender más y cumplir con otros objetivos reales.",49.00,116048,5,0
49,The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life  ,HarvardX,Philosophy & Ethics,"Today, finding happiness is about mindfulness and discovering your true self. You may have heard that happiness is found by looking within. Ancient Chinese philosophy challenges all of these modern assumptions. From Confucianism to Daoism, the philosophies developed over two thousand years ago are among the most powerful in human history. ",99.00,27700,13,0
50,Steps in Japanese for Beginners1 Part1  ,WasedaX,Language,"Andy, an exchange student who as just arrived in Japan, is making greetings and introducing himself through his life in a university dormitory. He learns the taste of the foods he becomes to like by eating with Mr. Sato and Mr. Ono, two upperclassmen in his dormitory. He also orders a hamburger and coffee at local shops as he goes about his daily business.",49.00,57481,5,0
51,Data Science: Probability  ,HarvardX,Data Analysis & Statistics,"In this course, part of our Professional Certificate Program in Data Science,you will learn valuable concepts in probability theory. The motivation for this course is the circumstances surrounding the financial crisis of 2007-2008. Part of what caused this financial crisis was that the risk of some securities sold by financial institutions was underestimated. To begin to understand this very complicated event, we need to understand the basics of probability. ",99.00,139190,8,0
52,A Hands-on Introduction to Engineering Simulations  ,CornellX,Engineering,"In this hands-on course, you'll learn how to perform engineering simulations using a powerful tool from ANSYS, Inc. This is a problem-based course where you'll learn by doing. The focus will be on understanding what's under the blackbox so as to move beyond garbage-in, garbage-out. You'll practice using a common solution approach to problems involving different physics: structural mechanics, fluid dynamics and heat transfer.",199.00,191589,6,1
53,The Science of Happiness  ,BerkeleyX,Social Sciences,"""A free eight-week Science of Happiness course that will offer practical, research-backed tips on living a happy and meaningful life."" - The Huffington Post",169.00,479629,11,0
54,Python: aprender a programar  ,UPValenciaX,Computer Science,"Este curso empieza desde 0 para aprender a programar con Python, tratando los fundamentos de programación como son las variables y constantes, las condiciones, los bucles y los módulos y funciones, para acabar introduciendo el tratamiento de cadenas de texto y los ficheros. De esta forma, al acabar el curso el alumno será capaz de realizar programas útiles a la hora de procesar datos de diversas fuentes para obtener conclusiones",49.00,24264,8,0
55,Pyramids of Giza: Ancient Egyptian Art and Archaeology  ,HarvardX,Art & Culture,"Where is Giza? How were the Pyramids built? How did the cemeteries and hundreds of decorated tombs around them develop? What was Giza’s contribution to this first great age of ancient Egyptian civilization, the Old Kingdom? ",149.00,126383,8,0
56,The Health Effects of Climate Change  ,HarvardX,Environmental Studies,"Our world's climate is changing. Of the top twenty hottest years ever recorded, sixteen have occurred in the last two decades. This warming has already had a profound effect. Many feel powerless in the face of this challenge, but you can make a difference. ",149.00,112955,7,0
57,Lessons from Ebola: Preventing the Next Pandemic  ,HarvardX,Social Sciences,"Like no other event in recent history, the 2014 Ebola outbreak has made clear the fragility of existing health systems. While responding to the current epidemic is critical, we also have an opportunity to learn lessons to prevent the next global health catastrophe, forge partnerships across borders and disciplines, and demonstrate our commitment to value all human lives.",99.00,92483,4,0
58,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics  ",HarvardX,Medicine,"Bioethics provides an overview of the legal, medical, and ethical questions around reproduction and human genetics and how to apply legal reasoning to these questions.",149.00,83270,10,0
59,Analyzing and Visualizing Data with Power BI  ,DavidsonX,Data Analysis & Statistics,Power BI is a robust business analytics and visualization tool from Microsoft that helps data professionals bring their data to life and tell more meaningful stores.,99.00,33447,4,0
60,AI for Everyone: Master the Basics  ,IBM,Computer Science,"In this course, you will learn what AI is and understand its applications and use cases and how it is transforming our lives. You will explore basic AI concepts including machine learning, deep learning, and neural networks as well as use cases and applications of AI. You will be exposed to concerns surrounding AI, including ethics, bias, jobs and the impacts on society.",49.00,53403,4,0
61,Machine Learning with Python: A Practical Introduction  ,IBM,Data Analysis & Statistics,About this course,39.00,83427,5,0
62,CS50 for Lawyers  ,HarvardX,Computer Science,"This course is a variant of HarvardUniversity's introduction to computer science, CS50, designed especially for lawyers (and law students). Whereas CS50 itself takes a bottom-up approach, emphasizing mastery of low-level concepts and implementation details thereof, this course takes a top-down approach, emphasizing mastery of high-level concepts and design decisions related thereto. Ultimately, it equips students with a deeper understanding of the legal implications of technological decisions made by clients. ",199.00,90169,10,0
63,Upper-Intermediate English: Business and Modern Life  ,UPValenciaX,Language,"This course is the second in a series of four English language MOOCs designed for students with an intermediate level of English looking to reach a higher intermediate level. The course is comprised of video lessons, reading comprehension activities, grammar explanations and exercises, listening comprehension activities and speaking practice. ",50.00,82609,4,1
64,Analyzing Data with Python  ,IBM,Data Analysis & Statistics,LEARN TO ANALYZE DATA WITH PYTHON,39.00,96932,5,0
65,"U.S. Public Policy: Social, Economic, and Foreign Policies  ",HarvardX,Social Sciences,"Public policy puts laws into action. The executive branch directs the combined activities of the federal government to address a multitude of problems, from the environment to the economy. The policies of the United States affect social issues, economic growth, taxes, regulation, and foreign affairs. This course will take a broad view of public policy in America but will use specific examples, such as the 2008 economic downturn and climate change, to illustrate the wide-ranging effects of those policies. ",99.00,45719,4,0
66,Introduction to Data Science  ,IBM,Data Analysis & Statistics,"The art of uncovering the insights and trends in data has been around for centuries. The ancient Egyptians applied census data to increase efficiency in tax collection and they accurately predicted the flooding of the Nile river every year. Since then, people working in data science have carved out a unique and distinct field for the work they do. This field is data science and in this course, you will meet some big data science practitioners and we will get an overview of what data science is today.",39.00,47425,6,0
67,"Nutrition, Exercise and Sports  ",WageningenX,Food & Nutrition,"Are you involved in sports and do you want to have a better understanding of the role of nutrition on performance and health? Do you want to learn whether certain nutritional strategies could be relevant for your own athletic performance and/or muscle growth? Are you a dietitian, physiotherapist or a health/sport coach and do you want to be able to provide proper nutritional advice for your clients? Or, are you none of the above but interested in nutrition and sports and want to make your own informed decisions about your daily food intake?
Then this online course is for you! ",49.00,54107,6,1
68,"Women Making History: Ten Objects, Many Stories  ",HarvardX,History,"As we approach the centennial of the passage of women’s suffrage in 1920, there has been a recent burst of activism among American women. Women are running for political office in record numbers. Women are organizing and taking to the streets to demand change. Women are grappling with inclusion and intersectionality. ",139.00,40176,8,0
69,Accounting and Finance  ,IIMBx,Business & Management,"This business course helps you to read and understand financial statements to evaluate how business performance is affected by four fundamental drivers of profitability viz., asset management, cost management, leverage management and tax management. It will also help you to identify areas for improvement.",150.00,91678,11,1
70,"Managing Study, Stress and Mental Health at University  ",CurtinX,Health & Safety,"This short course is a German-Australian collaboration developed in response to the growing need to provide students with the knowledge, skills, and understanding to recognise, identify and respond to mental health challenges in themselves and others. The course is primarily for university students and those working in the tertiary education and local community sectors.",49.00,24803,2,0
71,Buddhism Through Its Scriptures  ,HarvardX,Humanities,"Whether you are new to the study of Buddhism or have been studying it or practicing it for years, this course will provide you with the opportunity to become acquainted with a variety of Buddhist teachings while guiding you to think about them, and yourself, in new ways.",99.00,184075,4,0
72,C Programming: Getting Started  ,Dartmouth_IMTx,Computer Science,"In this course, you will learn the principles of C programming and start coding hands-on in a browser tool that will provide instant feedback on your code. ",49.00,109745,7,0
73,Circuits and Electronics 1: Basic Circuit Analysis  ,MITx,Electronics,"Want to learn about circuits and electronics, but unsure where to begin? Wondering how to make computers run faster or your mobile phone battery last longer? This free circuits course taught by edX CEO and MIT Professor Anant Agarwal and colleagues is for you. ",169.00,55680,5,0
74,The Psychology of Criminal Justice  ,UQx,Humanities,"This course systematically explores the effectiveness of the law and justice system from a psychological perspective. By experiencing a fictional case first hand, you will learn about the psychology of law and some of the misconceptions commonly held about criminal justice.",99.00,112700,8,0
75,SQL for Data Science  ,IBM,Data Analysis & Statistics,Much of the world's data lives in databases. SQL (or Structured Query Language) is a powerful programming language that is used for communicating with and extracting various data types from databases. A working knowledge of databases and SQL is necessary to advance as a data scientist or a machine learning specialist. The purpose of this course is to introduce relational database concepts and help you learn and apply foundational knowledge of the SQL language. It is also intended to get you started with performing SQL access in a data science environment.,39.00,42674,4,0
76,Human Anatomy  ,HKPolyUx,Medicine,"How is the human body structured? How are the different body systems interconnected with each other? If you are interested but layman to Human Anatomy, if you find the Human Anatomy textbooks are too difficult to read, or if you want to freshen up quickly your anatomy knowledge, this is the course for you.",139.00,129027,8,0
77,Using Email for Networking in English  ,UWashingtonX,Language,"Effective writing is an important business skill, especially for networking, and most communication takes place using email. ",149.00,58942,4,0
78,Programación para todos (empezando con Python)  ,MichiganX,Computer Science,Este curso de Python tiene el objetivo de enseñar a todos lo básico de la programación de computadoras usando Python. Conocerás cómo construir un programa de una serie de instrucciones simples en Python. El curso de programación no tiene prerrequisitos y evita todo menos la matemática más simple. Cualquier persona con experiencia moderada con computadoras debe poder dominar los materiales en este MOOC. ,49.00,83361,7,0
79,Improving Global Health: Focusing on Quality and Safety  ,HarvardX,Social Sciences,"Improving access to healthcare is only as useful as the quality of care provided. Many agree that quality is important – but what is it? How do we define it? How do we measure it? And most importantly, how might we make it better? ",99.00,129068,10,1
80,Bitcoin and Cryptocurrencies  ,BerkeleyX,Computer Science,Receive an instructor-signed certificate with the institution's logo to verify your achievement and increase your job prospects,99.00,86667,6,0
81,"Religion, Conflict and Peace  ",HarvardX,Humanities,"In this course, we will explore a series of contemporary conflicts in different regions of the world with a special focus on identifying and analyzing the diverse and complex roles that religions play in both promoting and mitigating violence in each context. Students will learn a method for recognizing and analyzing how religious ideologies are embedded in all arenas of human agency and not isolated from political, economic, and cultural life as is often assumed. ",99.00,75733,8,0
82,Backyard Meteorology: The Science of Weather  ,HarvardX,Science,"The weather forecasts we see every day are based on an army of meteorological sensing networks and intensive computer modeling. Before the rise of these technologies, predictions were made by methods like discerning cloud formations and wind directions. ",149.00,65496,6,0
83,Improving Your Business Through a Culture of Health  ,HarvardX,Business & Management,"While the United States is one of the world’s wealthiest nations, it is far from the healthiest. Our nation’s burden of disease affects businesses every day, from sick employees and families reducing productivity and increasing costs, to product recalls and failures, to environmental scandals such as toxic chemical emissions harming communities and reputations. ",149.00,55964,9,0
84,Causal Diagrams: Draw Your Assumptions Before Your Conclusions  ,HarvardX,Data Analysis & Statistics,"Causal diagrams have revolutionized the way in which researchers ask: What is the causal effect of X on Y? They have become a key tool for researchers who study the effects of treatments, exposures, and policies. By summarizing and communicating assumptions about the causal structure of a problem, causal diagrams have helped clarify apparent paradoxes, describe common biases, and identify adjustment variables. As a result, a sound understanding of causal diagrams is becoming increasingly important in many scientific disciplines.",169.00,52441,9,0
85,"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context  ",HarvardX,Medicine,"Prescription drugs are among the most common health care interventions and have turnedsome once-fatal diseases into manageable conditions — but they have also been a growing source of controversy. Patients in the US struggle with increasing costs and express concerns about whymany conditions,such as Alzheimer’s disease, remain without adequate therapeutic options.",199.00,81684,8,0
86,Six Sigma: Define and Measure  ,TUMx,Business & Management,"Understand the background and meaning of Six Sigma and the five steps of the DMAIC process improvement flow: Define, Measure, Analyze, Improve and Control. Discuss what ""Quality"" means and how to identify the Voice of the Customer.",99.00,95292,8,0
87,Hinduism Through Its Scriptures  ,HarvardX,Humanities,Ever wondered about the sacred scriptures that have sustained for millennia one of the oldest and most diverse religions of the world - Hinduism? Want to discover the lessons this history may offer mankind in the 21st century?,99.00,142103,4,0
88,Introduction to Probability  ,HarvardX,Data Analysis & Statistics,"Probability and statistics help to bring logic to a world replete with randomness and uncertainty. This course will give you tools needed to understand data, science, philosophy, engineering, economics, and finance. You will learn not only how to solve challenging technical problems, but also how you can apply those solutions in everyday life. ",139.00,99685,10,1
89,Excel: gestión de datos  ,UPValenciaX,Computer Science,"Este es un curso de Microsoft Excel de nivel intermedio que te permitirá trabajar con datos para su tratamiento y extraer conclusiones mediante el agrupamiento de datos, el uso de tablas y gráficos dinámicos, las principales funciones de Excel, la realización de análisis de hipótesis y la vinculación de datos de otras hojas de cálculo. ",75.00,114507,6,1
90,Gestión de Proyectos de Desarrollo  ,IDBx,Business & Management,Este curso será impartido en español,49.00,308390,10,0
91,Databases: Relational Databases and SQL  ,StanfordOnline,Computer Science,About the Database Series of Courses,50.00,23527,2,0
92,Masterpieces of World Literature  ,HarvardX,Literature,This literature course explores how great writers refract their world and how their works are transformed when they intervene in our global cultural landscape today.,199.00,90842,12,0
93,Introduction to Investments  ,IIMBx,Business & Management,"When you complete this course, you will become familiar with the general structure of primary and secondary equity markets from a domestic and international perspective. Beginning with introductory finance notions of risk and return, we examine qualitative concepts such as market efficiency and valuation.",50.00,93181,5,1
94,Data Science: Inference and Modeling  ,HarvardX,Data Analysis & Statistics,"Statistical inference and modeling are indispensable for analyzing data affected by chance, and thus essential for data scientists. In this course, you will learn these key concepts through a motivating case study on election forecasting. ",99.00,90359,8,0
95,"Fundamentals of Neuroscience, Part 3: The Brain  ",HarvardX,Biology & Life Sciences,"The human brain is a fantastically complex system, capable of transforming a torrent of incoming information into thought and action. In this course, we will look at how the various subsystems of the brain work together to enable us to survive and thrive in a changing world. ",169.00,86543,8,0
96,JavaScript Introduction  ,W3Cx,Computer Science,"This course is part of W3C's ""Front-End Web Developer"" Professional Certificate.",199.00,162599,5,0
97,American Government: Constitutional Foundations  ,HarvardX,Social Sciences,"“We the People” are the opening words of the U.S. Constitution, yet the original document did not give citizens much say in the election of their officials. Though some of those issues have been addressed, substantial barriers—gerrymandering, voter registration, and voter ID laws—still restrain the power of the vote. Why? How can a country, founded more than 200 years ago on the ideals of liberty, equality, and individualism, still struggle to empower all of its citizens equally? ",99.00,36925,4,0
98,"CitiesX: The Past, Present and Future of Urban Life  ",HarvardX,Social Sciences,"For the first time in human history, more than fifty percent of the world’s population lives in urban areas. Cities allow for the exchange of ideas, and generate remarkable innovations in business, art, and ideas. Cities are also home to millions living in poverty. Urban living can provide a pathway to a better life, but that’s not always the case for many people around the world. ",169.00,78572,11,0
